frame_idx,x0,y0,x1,y1
0,692.0,523.0,686.0,455.0
1,696.8931884765625,528.714111328125,689.54833984375,458.9783630371094
2,699.0,526.0,691.0,470.0
3,699.7062377929688,524.8742065429688,692.0005493164062,469.8583984375
4,698.0,519.0,692.0,471.0
5,697.9872436523438,516.1377563476562,692.1383056640625,469.3489685058594
6,703.0,522.0,692.0,459.0
7,703.9312133789062,523.4392700195312,692.1618041992188,460.27410888671875
8,705.0,523.0,698.0,514.0
9,705.1427612304688,525.2794799804688,698.5243530273438,516.47314453125
10,705.0,523.0,694.0,526.0
11,705.9386596679688,521.65673828125,695.10302734375,524.9118041992188
12,705.0,523.0,693.0,473.0
13,705.4968872070312,521.546142578125,693.9095458984375,473.2854309082031
14,706.0,519.0,698.0,466.0
15,706.0513305664062,518.2241821289062,698.2601318359375,466.70294189453125
16,704.0,508.0,698.0,474.0
17,703.0728759765625,507.5289001464844,697.2384643554688,475.7643127441406
18,705.0,515.0,698.0,470.0
19,704.7562255859375,514.804443359375,698.5046997070312,473.7071533203125
20,704.0,515.0,699.0,489.0
21,703.946533203125,514.27392578125,699.2623291015625,490.2571105957031
22,704.0,515.0,699.0,481.0
23,703.3709716796875,513.448974609375,699.2350463867188,481.2547912597656
24,704.0,508.0,701.0,486.0
25,704.1578369140625,506.919677734375,702.3343505859375,487.5609130859375
26,705.0,505.0,704.0,485.0
27,703.2496948242188,499.12322998046875,703.833984375,487.7791442871094
28,699.0,500.0,699.0,486.0
29,696.9447631835938,495.5230407714844,697.12109375,482.1455383300781
30,699.0,492.0,697.0,479.0
31,698.5505981445312,484.3666687011719,696.8995971679688,471.783447265625
32,699.0,449.0,699.0,467.0
33,712.78125,474.5439147949219,713.0226440429688,480.3343505859375
34,717.0,489.0,700.0,433.0
35,710.8262939453125,497.6611633300781,693.7859497070312,438.4469909667969
36,705.0,523.0,695.0,524.0
37,706.761962890625,528.9727783203125,695.106201171875,529.8759155273438
38,712.0,527.0,701.0,529.0
39,712.7273559570312,527.63818359375,701.4771728515625,529.6917114257812
40,712.0,530.0,697.0,523.0
41,712.068359375,530.1621704101562,696.9669189453125,523.213623046875
42,711.0,523.0,699.0,521.0
43,710.0032958984375,522.7355346679688,697.7844848632812,520.7662353515625
44,711.0,530.0,704.0,521.0
45,711.3987426757812,530.140380859375,704.1241455078125,521.1885375976562
46,712.0,530.0,697.0,523.0
47,712.5291748046875,530.2785034179688,697.6117553710938,523.4041137695312
48,712.0,526.0,706.0,535.0
49,712.325439453125,525.527099609375,706.7259521484375,534.6244506835938
50,712.0,531.0,703.0,522.0
51,712.6446533203125,530.2308349609375,703.1696166992188,521.1549072265625
52,712.0,527.0,699.0,480.0
53,711.6932983398438,525.0802001953125,699.3104858398438,480.4480895996094
54,712.0,523.0,704.0,514.0
55,711.7761840820312,521.2774047851562,703.9666137695312,512.2677001953125
56,709.0,515.0,705.0,481.0
57,708.3474731445312,512.4979248046875,705.4384765625,482.24139404296875
58,709.0,511.0,705.0,485.0
59,708.75537109375,509.7490539550781,705.6817016601562,487.2159729003906
60,706.0,508.0,700.0,489.0
61,705.7471923828125,507.59588623046875,700.0513916015625,489.48516845703125
62,706.0,507.0,700.0,489.0
63,705.2683715820312,506.0935974121094,699.6384887695312,488.50726318359375
64,706.0,500.0,695.0,489.0
65,705.001953125,498.863525390625,694.1915893554688,487.4180603027344
66,704.0,500.0,689.0,476.0
67,702.06005859375,498.58453369140625,686.5043334960938,474.8618469238281
68,699.0,497.0,692.0,478.0
69,698.680419921875,496.75958251953125,691.7320556640625,477.9059143066406
70,699.0,496.0,692.0,478.0
71,699.2174682617188,495.9910583496094,692.446044921875,478.0233154296875
72,699.0,496.0,698.0,486.0
73,698.64013671875,495.883056640625,697.7894897460938,485.9771728515625
74,699.0,496.0,692.0,478.0
75,698.3589477539062,496.9928894042969,691.504150390625,479.0148010253906
76,699.0,497.0,692.0,481.0
77,699.0615234375,497.49493408203125,692.099609375,481.3357238769531
78,697.0,500.0,691.0,481.0
79,697.0160522460938,499.840087890625,691.0146484375,480.9764099121094
80,699.0,499.0,689.0,502.0
81,699.5601806640625,498.9998474121094,689.4992065429688,502.0087890625
82,698.0,500.0,697.0,485.0
83,697.9599609375,499.33233642578125,697.0079345703125,484.4413757324219
84,699.0,496.0,692.0,477.0
85,699.1192626953125,495.73760986328125,692.1710205078125,476.6897277832031
86,699.0,496.0,695.0,485.0
87,699.05615234375,495.5855407714844,695.0151977539062,484.5948181152344
88,699.0,496.0,698.0,482.0
89,699.8213500976562,495.00775146484375,698.8095092773438,481.15704345703125
90,699.0,493.0,698.0,478.0
91,698.0369873046875,492.5389099121094,697.0397338867188,477.6645202636719
92,699.0,496.0,698.0,479.0
93,699.5224609375,495.9049377441406,698.3386840820312,478.91015625
94,700.0,492.0,698.0,477.0
95,699.5103149414062,491.9971923828125,697.4888305664062,476.8208312988281
96,698.0,484.0,697.0,497.0
97,697.8211669921875,484.0184631347656,696.7708740234375,497.016845703125
98,698.0,496.0,698.0,485.0
99,698.1675415039062,496.2132263183594,698.22265625,485.248291015625
100,699.0,492.0,692.0,476.0
101,698.793212890625,491.7418212890625,691.7642211914062,475.76434326171875
102,699.0,492.0,691.0,498.0
103,699.2734985351562,492.07659912109375,691.560791015625,497.8388671875
104,699.0,496.0,698.0,482.0
105,698.7750244140625,496.20458984375,697.9678955078125,482.2030944824219
106,698.0,497.0,698.0,481.0
107,697.9244384765625,497.6523132324219,698.2392578125,481.6158752441406
108,699.0,496.0,699.0,482.0
109,698.6259155273438,496.6976623535156,698.9698486328125,482.75970458984375
110,699.0,496.0,698.0,481.0
111,698.8468017578125,495.9967346191406,698.11865234375,480.9804382324219
112,699.0,496.0,697.0,482.0
113,698.8115234375,495.4838562011719,696.8792724609375,481.47564697265625
114,699.0,496.0,692.0,477.0
115,699.4429321289062,495.9241943359375,692.7887573242188,476.99566650390625
116,699.0,481.0,695.0,499.0
117,699.2427368164062,481.3128662109375,695.2891845703125,499.50799560546875
118,699.0,498.0,699.0,481.0
119,699.0436401367188,498.2337646484375,699.0111083984375,481.1235046386719
120,699.0,497.0,699.0,481.0
121,699.0209350585938,497.502197265625,699.1128540039062,481.5441589355469
122,699.0,481.0,698.0,500.0
123,698.2828979492188,480.8951721191406,697.0394287109375,499.9939880371094
124,699.0,482.0,699.0,497.0
125,699.8548583984375,482.03955078125,699.4332275390625,497.20965576171875
126,699.0,481.0,699.0,499.0
127,698.67529296875,481.00555419921875,699.484619140625,498.51531982421875
128,699.0,481.0,698.0,500.0
129,699.3662109375,480.95062255859375,698.2523193359375,499.99761962890625
130,699.0,481.0,698.0,500.0
131,698.6973876953125,481.20550537109375,697.6583862304688,500.2421875
132,699.0,482.0,699.0,497.0
133,699.0761108398438,481.9952697753906,699.1639404296875,496.89202880859375
134,699.0,482.0,696.0,501.0
135,699.144287109375,482.0270080566406,696.0863647460938,500.9820251464844
136,699.0,496.0,699.0,481.0
137,699.5484619140625,495.3499450683594,699.9111328125,480.0713195800781
138,699.0,478.0,699.0,496.0
139,699.56298828125,477.9241027832031,699.097412109375,496.0542297363281
140,702.0,482.0,695.0,499.0
141,700.8768920898438,481.91485595703125,694.5874633789062,498.4751892089844
142,699.0,478.0,699.0,496.0
143,698.897705078125,478.9541320800781,699.41552734375,496.60455322265625
144,699.0,481.0,699.0,497.0
145,698.4684448242188,481.38330078125,698.7529907226562,497.0950927734375
146,699.0,496.0,699.0,482.0
147,698.7616577148438,496.1333312988281,698.8687744140625,482.02294921875
148,699.0,497.0,699.0,482.0
149,699.0836791992188,496.7587890625,699.1582641601562,481.679443359375
150,699.0,496.0,699.0,481.0
151,698.9771728515625,495.7763977050781,698.9401245117188,480.92828369140625
152,699.0,496.0,699.0,482.0
153,699.300537109375,495.5928955078125,699.7705688476562,481.0830078125
154,698.0,477.0,695.0,499.0
155,698.5238647460938,476.9037780761719,694.9263305664062,498.95672607421875
156,697.0,498.0,690.0,476.0
157,697.2139892578125,498.2159423828125,690.5138549804688,476.513671875
158,699.0,496.0,699.0,481.0
159,698.8215942382812,495.8296813964844,699.1493530273438,480.86846923828125
160,699.0,497.0,699.0,481.0
161,698.91650390625,496.76629638671875,699.2958984375,480.6922607421875
162,700.0,486.0,699.0,496.0
163,699.7816162109375,486.1355285644531,698.79296875,496.12335205078125
164,699.0,496.0,699.0,482.0
165,698.7359008789062,496.31317138671875,699.1078491210938,481.64166259765625
166,699.0,481.0,699.0,496.0
167,699.1369018554688,481.0356750488281,698.99951171875,495.9693908691406
168,700.0,482.0,699.0,496.0
169,699.9683837890625,482.58380126953125,699.0466918945312,496.54376220703125
170,699.0,481.0,699.0,496.0
171,698.8825073242188,481.10736083984375,698.7341918945312,495.9945983886719
172,700.0,482.0,699.0,496.0
173,700.3138427734375,481.81365966796875,699.0826416015625,495.66705322265625
174,704.0,481.0,699.0,496.0
175,704.3568725585938,481.11541748046875,699.1102905273438,496.0122375488281
176,703.0,482.0,699.0,496.0
177,704.2302856445312,482.5706481933594,699.074951171875,496.5379638671875
178,702.0,485.0,699.0,499.0
179,702.1709594726562,485.7341003417969,698.9459228515625,499.7666015625
180,705.0,485.0,698.0,500.0
181,706.1796875,485.6903381347656,698.5302734375,500.2381896972656
182,704.0,485.0,699.0,500.0
183,704.7966918945312,485.2364807128906,699.3155517578125,500.0885314941406
